GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
304,95,0.74,24,6.5,3,3,74
305,95,8.78,1,6.5,4,4,82.8
303,95,0.75,20,6.5,4,4,75
305,95,0.65,12,6.5,3,3,65
305,95,6.75,22,6.5,3,3,62.5
322,95,6.45,1,6.5,2,2,59.5
318,95,8,6,6.5,4,4,75
305,95,8.7,60,6.5,4,4,82
305,95,7.02,0,6.5,3,3,65.2
305,95,7.3,48,6.5,3,3,68
322,95,0.7,60,6.5,3,3,70
305,95,0.58,0,6.5,2,2,58
316,95,9,12,6.5,4,4,85
305,95,7.1,0,6.5,3,3,66
313,95,7.2,0,6.5,3,3,67
301,95,0.65,74,6.5,3,3,65
309,95,8.14,2,6.5,4,4,76.4
305,95,8.23,10,6.5,4,4,77.3
310,95,7,6,6.5,3,3,65
303,97,7,16,6.5,3,3,65
310,98,6.51,6,6.5,3,3,60.1
311,98,7.31,25,6.5,3,3,68.1
312,98,7.07,14,6.5,3,3,65.7
314,100,8.5,15,6.5,4,4,80
305,100,9,43,6.5,4,4,85
311,101,7.74,25,7,3,3,72.4
313,101,0.8014,48,7,4,4,80.14
317,101,0.67,18,7,3,3,67
318,102,0.67,32,7,3,3,67
300,103,9,30,7,4,4,85
317,103,0.79,60,7,4,4,79
316,103,0.8101,13,7,4,4,81.01
313,104,6.5,1,7,3,3,60
317,104,0.752,35,7,4,4,75.2
307,105,8.02,0,7,4,4,75.2
312,105,0.6486,18,7,3,3,64.86
307,105,0.72,54,7,3,3,72
310,106,7.92,35,7,3,3,74.2
308,106,8.42,9,7,4,4,79.2
310,106,0.756,42,7,4,4,75.6
314,106,9.15,0,7,4,4,86.5
310,107,7.39,14,7,3,3,68.9
318,108,6.54,5,7,3,3,60.4
315,108,0.833,8,7,4,4,83.3
317,108,8.2,0,7,4,4,77
312,109,7.9,0,7.5,3,3,74
305,109,7.35,0,7.5,3,3,68.5
305,109,0.86,25,7.5,4,4,86
324,109,6.2,40,7.5,2,2,57
316,112,8.48,21,7.5,4,4,79.8
305,113,0.7389,60,7.5,3,3,73.89
321,114,7.58,38,8,3,3,70.8
322,114,0.64,29,8,3,3,64
305,95,0.56,0,6.5,2,2,56
318,95,7.71,0,6.5,3,3,72.1
305,95,6.75,22,6.5,3,3,62.5
305,95,0.58,0,6.5,2,2,58
305,95,8.7,60,6.5,4,4,82
305,95,7.2,0,6.5,3,3,67
305,95,8.2,39,6.5,4,4,77
320,95,0.72,14,6.5,3,3,72
320,95,7.69,7,6.5,3,3,71.9
305,95,6,0,6.5,2,2,55
287,95,6.3,0,6.5,2,2,58
296,97,8.85,22,6.5,4,4,83.5
311,100,0,0,6.5,2,2,0
305,101,0.62,8,7,3,3,62
305,101,0.524,111,7,2,2,52.4
300,101,7.5,1,7,3,3,70
320,102,7,30,7,3,3,65
309,102,0.71,30,7,3,3,71
321,104,0.71,76,7,3,3,71
304,106,0.87,60,7,4,4,87
318,106,6.41,0,7,2,2,59.1
326,106,7,0,7,3,3,65
305,108,7.4,44,7,3,3,69
312,109,7.2,33,7.5,3,3,67
319,110,0.75,0,7.5,4,4,75
321,114,7.58,38,8,3,3,70.8
296,86,0.75,36,6,4,4,75
299,88,7.95,5,6,3,3,74.5
305,89,0.6595,30,6,3,3,65.95
296,90,0.64,0,6,3,3,64
298,90,9.12,24,6,4,4,86.2
308,90,8.26,15,6,4,4,77.6
310,90,0.71,6,6,3,3,71
298,91,0.693,26,6,3,3,69.3
292,92,0.64,0,6,3,3,64
299,92,0.578,12,6,2,2,57.8
309,93,0.59,36,6.5,2,2,59
302,93,7.79,30,6.5,3,3,72.9
304,93,0.78,60,6.5,4,4,78
294,93,6.5,2,6.5,3,3,60
297,94,8.5,27,6.5,4,4,80
305,95,7.98,0,6.5,3,3,74.8
305,95,0.6,0,6.5,3,3,60
305,95,0.72,27,6.5,3,3,72
290,95,0.76,0,6.5,4,4,76
316,95,9,12,6.5,4,4,85
305,95,7.3,48,6.5,3,3,68
305,95,9.03,0,6.5,4,4,85.3
302,95,0.67,0,6.5,3,3,67
305,95,6.4,12,6.5,2,2,59
305,95,7.7,1,6.5,3,3,72
305,95,0.58,0,6.5,2,2,58
299,95,0.64,42,6.5,3,3,64
294,95,0.75,80,6.5,4,4,75
303,95,6.9,12,6.5,3,3,64
306,95,0.65,3,6.5,3,3,65
305,95,0.67,10,6.5,3,3,67
305,95,8.5,6,6.5,4,4,80
301,96,7.44,0,6.5,3,3,69.4
310,96,0.564,36,6.5,2,2,56.4
306,96,0.62,15,6.5,3,3,62
297,97,0.53,0,6.5,2,2,53
305,97,6.23,4,6.5,2,2,57.3
306,97,8.07,26,6.5,4,4,75.7
302,98,0.65,29,6.5,3,3,65
305,98,8.35,19,6.5,4,4,78.5
309,100,8.61,39,6.5,4,4,81.1
290,101,0.76,8,7,4,4,76
287,101,0.735,32,7,3,3,73.5
301,101,0.8425,50,7,4,4,84.25
302,101,0.588,13,7,2,2,58.8
303,103,9,2,7,4,4,85
309,104,0.7,0,7,3,3,70
304,104,5.8,0,7,2,2,53
302,106,8.39,24,7,4,4,78.9
300,107,0.55,10,7,2,2,55
305,109,7.35,0,7.5,3,3,68.5
304,109,0.625,4,7.5,3,3,62.5
309,109,9.24,40,7.5,4,4,87.4
304,111,0.7,12,7.5,3,3,70
310,111,0.56,28,7.5,2,2,56
290,91,7.3,48,6,3,3,68
311,95,0.68,45,6.5,3,3,68
305,95,8,0,6.5,4,4,75
318,95,8,6,6.5,4,4,75
318,95,7.71,0,6.5,3,3,72.1
305,95,6.75,22,6.5,3,3,62.5
308,95,8.5,40,6.5,4,4,80
320,95,7.69,7,6.5,3,3,71.9
305,95,7.8,42,6.5,3,3,73
302,95,0.7,60,6.5,3,3,70
305,95,7.38,2,6.5,3,3,68.8
305,95,0.6,17,6.5,3,3,60
305,95,0.58,20,6.5,2,2,58
301,101,6.35,10,7,2,2,58.5
303,103,9,2,7,4,4,85
314,103,7.3,32,7,3,3,68
315,104,8.54,30,7,4,4,80.4
317,104,8,10,7,4,4,75
317,108,0.643,0,7,3,3,64.3
310,109,9.5,24,7.5,5,5,90
305,109,7.35,0,7.5,3,3,68.5
311,109,0.6,55,7.5,3,3,60
298,85,7.12,1,6,3,3,66.2
297,85,7.56,3,6,3,3,70.6
305,85,0.74,3,6,3,3,74
307,85,0.74,15,6,3,3,74
298,85,0.7,5,6,3,3,70
292,87,0.61,18,6,3,3,61
304,87,0.75,32,6,4,4,75
297,88,0.6,0,6,3,3,60
294,89,0.58,34,6,2,2,58
292,89,7.13,38,6,3,3,66.3
293,91,0.6064,48,6,3,3,60.64
301,91,0.58,40,6,2,2,58
298,91,5.39,3,6,2,2,48.9
310,92,5.5,0,6,2,2,50
300,92,0.7239,44,6,3,3,72.39
301,92,0.62,5,6,3,3,62
300,92,6,12,6,2,2,55
281,93,0.74,60,6.5,3,3,74
296,93,8.34,0,6.5,4,4,78.4
297,93,7.63,29,6.5,3,3,71.3
295,93,7.4,24,6.5,3,3,69
296,93,7.95,19,6.5,3,3,74.5
289,94,0.7,30,6.5,3,3,70
299,94,0.769,46,6.5,4,4,76.9
305,95,0.55,0,6.5,2,2,55
305,95,0.645,0,6.5,3,3,64.5
305,95,6.75,16,6.5,3,3,62.5
305,95,0.67,0,6.5,3,3,67
290,95,0.76,0,6.5,4,4,76
305,95,0.58,0,6.5,2,2,58
305,95,6.8,1,6.5,3,3,63
305,95,7.7,2,6.5,3,3,72
305,95,0.67,0,6.5,3,3,67
305,95,7.3,48,6.5,3,3,68
305,95,8.7,0,6.5,4,4,82
316,95,9,12,6.5,4,4,85
305,95,7.42,0,6.5,3,3,69.2
305,95,0.65,15,6.5,3,3,65
305,95,7.1,0,6.5,3,3,66
310,96,0.6868,41,6.5,3,3,68.68
297,98,6.08,0,6.5,2,2,55.8
304,99,0.57,6,6.5,2,2,57
313,99,8.52,49,6.5,4,4,80.2
306,99,0.74,0,6.5,3,3,74
305,101,0.62,8,7,3,3,62
307,101,5.87,9,7,2,2,53.7
306,101,0.7198,48,7,3,3,71.98
292,102,7.32,0,7,3,3,68.2
310,102,0.59,53,7,2,2,59
305,104,6.24,0,7,2,2,57.4
299,105,0.78,2,7,4,4,78
305,109,7.35,0,7.5,3,3,68.5
294,109,0.6,7,7.5,3,3,60
305,110,7.5,16,7.5,3,3,70
310,115,0.715,48,8,3,3,71.5
305,93,6,4,6.5,2,2,55
305,95,0.7,13,6.5,3,3,70
305,95,6.69,18,6.5,3,3,61.9
305,95,8.6,0,6.5,4,4,81
318,95,7.71,0,6.5,3,3,72.1
305,95,7.7,2,6.5,3,3,72
305,95,8.3,24,6.5,4,4,78
305,95,0.63,40,6.5,3,3,63
322,95,0.7,60,6.5,3,3,70
305,95,0.7,36,6.5,3,3,70
305,95,8.6,0,6.5,4,4,81
325,95,0.7,2,6.5,3,3,70
314,95,0.8068,48,6.5,4,4,80.68
329,95,0.852,10,6.5,4,4,85.2
296,95,0.6,0,6.5,3,3,60
305,95,0.59,30,6.5,2,2,59
314,95,8.67,25,6.5,4,4,81.7
314,96,0.768,12,6.5,4,4,76.8
311,98,7,40,6.5,3,3,65
326,99,8.322,12,6.5,4,4,78.22
296,100,8.05,48,6.5,4,4,75.5
314,100,0.6,0,6.5,3,3,60
320,100,0.68,0,6.5,3,3,68
311,100,8.2,0,6.5,4,4,77
305,101,0.623,0,7,3,3,62.3
295,101,0.689,0,7,3,3,68.9
314,101,7.351,46,7,3,3,68.51
322,101,0.5889,24,7,2,2,58.89
320,102,7,30,7,3,3,65
311,102,0.74,85,7,3,3,74
309,103,0.741,13,7,3,3,74.1
321,104,0.71,76,7,3,3,71
321,104,0.6032,39,7,3,3,60.32
310,104,0.66,52,7,3,3,66
305,105,0.68,33,7,3,3,68
324,106,7.49,55,7,3,3,69.9
304,108,0.695,0,7,3,3,69.5
320,108,0.65,41,7,3,3,65
299,109,0.78,0,7.5,4,4,78
308,109,0.7,84,7.5,3,3,70
328,109,0.62,33,7.5,3,3,62
324,109,0.75,40,7.5,4,4,75
322,110,7.7,40,7.5,3,3,72
330,110,8.32,20,7.5,4,4,78.2
315,110,8.6,3,7.5,4,4,81
323,111,9.7,2,7.5,5,5,92
315,112,8.3,12,7.5,4,4,78
302,112,8.5,12,7.5,4,4,80
319,113,0.784,25,7.5,4,4,78.4
327,113,8,0,7.5,4,4,75
312,114,0.64,22,8,3,3,64
321,114,7.58,38,8,3,3,70.8
326,114,8.6,36,8,4,4,81
316,115,9.3,27,8,4,4,88
309,85,0.7212,25,6,3,3,72.12
298,85,0.5743,6,6,2,2,57.43
316,85,7.1,0,6,3,3,66
306,85,8.52,25,6,4,4,80.2
307,85,0.73,14,6,3,3,73
300,87,0.63,30,6,3,3,63
306,87,8.2,8,6,4,4,77
310,90,7.31,36,6,3,3,68.1
305,93,0.48,0,6.5,2,2,48
305,93,0.69,0,6.5,3,3,69
309,93,0.65,18,6.5,3,3,65
303,93,8.27,21,6.5,4,4,77.7
310,93,0.876,19,6.5,4,4,87.6
306,94,0.65,36,6.5,3,3,65
305,95,0.58,0,6.5,2,2,58
304,95,0.67,35,6.5,3,3,67
305,95,0.7,18,6.5,3,3,70
305,95,0.7144,20,6.5,3,3,71.44
299,95,0.71,33,6.5,3,3,71
309,95,0.6,0,6.5,3,3,60
305,95,7.27,13,6.5,3,3,67.7
305,95,0.653,18,6.5,3,3,65.3
305,95,7,60,6.5,3,3,65
307,96,0.6417,30,6.5,3,3,64.17
306,96,0.73,60,6.5,3,3,73
311,97,0.623,117,6.5,3,3,62.3
309,97,0.6975,45,6.5,3,3,69.75
299,97,0.723,48,6.5,3,3,72.3
308,98,6.94,36,6.5,3,3,64.4
310,99,6.48,12,6.5,2,2,59.8
310,100,0.54,0,6.5,2,2,54
313,100,0.65,12,6.5,3,3,65
301,101,0.68,36,7,3,3,68
315,101,9,7,7,4,4,85
301,101,6.61,23,7,3,3,61.1
308,101,0.81,20,7,4,4,81
312,101,7.56,20,7,3,3,70.6
304,101,0.6491,26,7,3,3,64.91
305,101,0.7258,23,7,3,3,72.58
317,102,0.54,12,7,2,2,54
312,103,0.75,17,7,4,4,75
305,104,6.24,0,7,2,2,57.4
317,105,6.33,57,7,2,2,58.3
307,107,8,18,7,4,4,75
311,108,7.4,6,7,3,3,69
311,108,7.8,0,7,3,3,73
315,109,0.6,30,7.5,3,3,60
305,109,0.6883,40,7.5,3,3,68.83
306,109,8.34,3,7.5,4,4,78.4
313,110,5.3,2,7.5,2,2,48
310,115,0.68,16,8,3,3,68
297,88,0.81,20,6,4,4,81
295,92,8.28,26,6,4,4,77.8
302,93,0.694,50,6.5,3,3,69.4
305,93,0.73,37,6.5,3,3,73
304,93,7.5,30,6.5,3,3,70
301,93,0.835,20,6.5,4,4,83.5
290,95,0.65,50,6.5,3,3,65
304,95,7.1,36,6.5,3,3,66
297,95,0.55,0,6.5,2,2,55
305,95,7.04,12,6.5,3,3,65.4
305,95,0.68,29,6.5,3,3,68
299,95,0.71,33,6.5,3,3,71
305,95,9,0,6.5,4,4,85
298,96,0.67,58,6.5,3,3,67
302,96,0.74,24,6.5,3,3,74
312,96,7.81,44,6.5,3,3,73.1
307,97,0.67,48,6.5,3,3,67
299,97,0.723,48,6.5,3,3,72.3
311,98,7.31,25,6.5,3,3,68.1
310,99,7.81,21,6.5,3,3,73.1
301,99,0.74,36,6.5,3,3,74
300,99,7.14,39,6.5,3,3,66.4
314,99,0.65,30,6.5,3,3,65
314,100,8.5,15,6.5,4,4,80
308,100,6.47,38,6.5,2,2,59.7
308,101,5.9,21,7,2,2,54
305,101,0.6068,36,7,3,3,60.68
307,101,8.63,45,7,4,4,81.3
311,102,6.34,27,7,2,2,58.4
311,102,0.74,85,7,3,3,74
311,102,9.06,11,7,4,4,85.6
303,104,0.66,36,7,3,3,66
321,104,0.6032,39,7,3,3,60.32
321,104,6.541,2,7,3,3,60.41
323,108,7.7,0,7,3,3,72
320,108,0.65,41,7,3,3,65
305,109,7.35,0,7.5,3,3,68.5
308,109,7.95,18,7.5,3,3,74.5
302,109,0.632,32,7.5,3,3,63.2
313,109,0.8174,25,7.5,4,4,81.74
324,109,6.2,40,7.5,2,2,57
318,113,0.7,0,7.5,3,3,70
312,115,0.73,33,8,3,3,73
316,95,9,12,6.5,4,4,85
305,95,8.88,10,6.5,4,4,83.8
305,95,7.82,20,6.5,3,3,73.2
305,95,8.6,24,6.5,4,4,81
305,95,0.6512,3,6.5,3,3,65.12
303,95,0.75,20,6.5,4,4,75
305,95,7.6,2,6.5,3,3,71
305,95,0.92,3,6.5,5,5,92
320,95,7.69,7,6.5,3,3,71.9
305,95,7.54,30,6.5,3,3,70.4
326,95,7.2,15,6.5,3,3,67
305,95,7.81,1,6.5,3,3,73.1
320,95,7.8,1,6.5,3,3,73
314,95,0.7306,34,6.5,3,3,73.06
305,95,7.35,18,6.5,3,3,68.5
312,95,0.56,18,6.5,2,2,56
307,95,8.1,24,6.5,4,4,76
316,95,7.5,36,6.5,3,3,70
305,95,0.9,1,6.5,5,5,90
317,95,0.892,43,6.5,4,4,89.2
313,95,0.75,38,6.5,4,4,75
318,95,8.9,40,6.5,4,4,84
320,95,6.41,0,6.5,2,2,59.1
317,96,9.586,0,6.5,5,5,90.86
316,97,0.7,31,6.5,3,3,70
305,98,7.13,58,6.5,3,3,66.3
323,99,7.24,2,6.5,3,3,67.4
323,99,7.38,18,6.5,3,3,68.8
307,99,9,36,6.5,4,4,85
319,100,0.6247,12,6.5,3,3,62.47
315,100,0.72,43,6.5,3,3,72
306,100,0.78,17,6.5,4,4,78
313,100,7.65,0,6.5,3,3,71.5
319,101,6.57,15,7,3,3,60.7
308,101,0.69,48,7,3,3,69
315,101,9.81,0,7,5,5,93.1
302,102,8.72,52,7,4,4,82.2
312,102,8.01,24,7,4,4,75.1
316,102,7.08,40,7,3,3,65.8
325,102,7.34,35,7,3,3,68.4
306,103,0.6317,27,7,3,3,63.17
317,103,0.79,60,7,4,4,79
306,103,0.6317,27,7,3,3,63.17
320,103,7.85,52,7,3,3,73.5
319,104,9.39,2,7,4,4,88.9
320,104,8.2,1,7,4,4,77
316,104,0.75,24,7,4,4,75
314,104,8.05,0,7,4,4,75.5
324,104,7.5,20,7,3,3,70
320,104,0.65,60,7,3,3,65
321,104,6.541,2,7,3,3,60.41
313,104,0.6674,20,7,3,3,66.74
304,104,7.33,44,7,3,3,68.3
319,105,6.8,6,7,3,3,63
315,105,7.4,2,7,3,3,69
315,105,7.42,0,7,3,3,69.2
310,106,0.756,42,7,4,4,75.6
321,106,8.16,0,7,4,4,76.6
322,107,0.7447,28,7,3,3,74.47
307,107,0.69,19,7,3,3,69
317,108,8.8,14,7,4,4,83
318,108,8.33,1,7,4,4,78.3
320,108,0.65,41,7,3,3,65
305,108,0.6834,54,7,3,3,68.34
317,109,9.18,6,7.5,4,4,86.8
321,109,0.6,29,7.5,3,3,60
312,110,8.6,24,7.5,4,4,81
330,110,8.4,30,7.5,4,4,79
322,110,0.816,24,7.5,4,4,81.6
319,111,9.6,6,7.5,5,5,91
327,111,7.85,18,7.5,3,3,73.5
326,111,0.601,42,7.5,3,3,60.1
316,111,8.64,1,7.5,4,4,81.4
325,112,8.56,18,7.5,4,4,80.6
316,112,0.73,20,7.5,3,3,73
316,112,8.48,21,7.5,4,4,79.8
321,112,0.7324,32,7.5,3,3,73.24
305,113,0.7389,60,7.5,3,3,73.89
324,113,7.9,15,7.5,3,3,74
319,113,0.734,26,7.5,3,3,73.4
326,113,0.685,44,7.5,3,3,68.5
319,113,0.734,26,7.5,3,3,73.4
321,114,7.58,38,8,3,3,70.8
322,114,8.97,0,8,4,4,84.7
329,114,7.2,51,8,3,3,67
324,114,8.3,30,8,4,4,78
322,114,0.64,29,8,3,3,64
317,114,0.6152,36,8,3,3,61.52
329,114,7.2,54,8,3,3,67
326,115,9.38,1,8,4,4,88.8
325,115,9.12,4,8,4,4,86.2
322,116,8.1,6,8,4,4,76
328,116,9,31,8,4,4,85
332,116,8.77,31,8,4,4,82.7
324,117,8.49,8,8.5,4,4,79.9
309,117,0.7,12,8.5,3,3,70
296,93,0.643,64,6.5,3,3,64.3
303,93,0.641,2,6.5,3,3,64.1
306,94,0.729,12,6.5,3,3,72.9
310,94,6,6,6.5,2,2,55
300,94,8.1,29,6.5,4,4,76
310,94,0.54,0,6.5,2,2,54
311,95,0.68,45,6.5,3,3,68
305,95,8.4,0,6.5,4,4,79
308,95,7.2,52,6.5,3,3,67
305,95,0.58,0,6.5,2,2,58
306,95,0.63,0,6.5,3,3,63
305,95,0.724,67,6.5,3,3,72.4
305,95,0.71,25,6.5,3,3,71
301,95,7.84,0,6.5,3,3,73.4
305,95,6.97,9,6.5,3,3,64.7
305,95,0.69,0,6.5,3,3,69
305,95,6.5,0,6.5,3,3,60
305,95,8.5,0,6.5,4,4,80
309,95,0.6,0,6.5,3,3,60
309,95,0.66,30,6.5,3,3,66
293,95,7.25,0,6.5,3,3,67.5
306,95,0.65,3,6.5,3,3,65
305,95,0.67,10,6.5,3,3,67
309,95,0.68,23,6.5,3,3,68
305,95,6.99,26,6.5,3,3,64.9
312,96,7.53,1,6.5,3,3,70.3
297,97,0.68,87,6.5,3,3,68
307,97,6.85,30,6.5,3,3,63.5
314,99,6.8,0,6.5,3,3,63
297,99,0.5581,24,6.5,2,2,55.81
307,99,7.31,6,6.5,3,3,68.1
302,100,0.71,0,6.5,3,3,71
306,100,0.55,0,6.5,2,2,55
311,101,0.5871,30,7,2,2,58.71
297,101,6.87,32,7,3,3,63.7
306,101,0.7422,8,7,3,3,74.22
306,101,6.35,1,7,2,2,58.5
304,102,0.61,26,7,3,3,61
313,103,8.712,26,7,4,4,82.12
313,104,6.5,1,7,3,3,60
310,104,9.26,38,7,4,4,87.6
310,107,8,36,7,4,4,75
305,109,7.35,0,7.5,3,3,68.5
306,109,0.5,31,7.5,2,2,50
315,109,0.6,30,7.5,3,3,60
313,109,0.8174,25,7.5,4,4,81.74
317,109,6.83,2,7.5,3,3,63.3
300,110,7.12,0,7.5,3,3,66.2
306,115,0.63,16,8,3,3,63